# This is an exemplary isentrope for a harzburgitic mantle composition, using the
# Birch-Murnaghan equation of state, and computed by the BurnMan software. Other compositions, equations of
# state, and software packages are supported as well, as long as the their results are in the format
# below, from PREM model
#
# POINTS: 29
# depth(m)  pressure (Pa), temperature (K), density (kg/m^3)
depth                     temperature            pressure                  density 
5.000000000000000000e+03 4.230000000000000000e+02 1.323e+08 2600 
2.000000000000000000e+04 4.730000000000000000e+02 5.40e+08 2900 
2.500000000000000000e+04 5.230000000000000000e+02 6.85e+08 2900 
3.000000000000000000e+04 5.730000000000000000e+02 8.3e+08 3380 
4.100000000000000000e+04 7.730000000000000000e+02 1.149e+09 3379 
4.500000000000000000e+04 8.730000000000000000e+02 1.314e+09 3378 
5.000000000000000000e+04 9.730000000000000000e+02 1.479e+09 3378 
6.000000000000000000e+04 1.173000000000000000e+03 1.809e+09 3377 
6.100000000000000000e+04 1.273000000000000000e+03 1.81e+09 3376 
6.500000000000000000e+04 1.373000000000000000e+03 1.974e+09 3376 
7.500000000000000000e+04 1.473000000000000000e+03 2.304e+09 3375 
7.600000000000000000e+04 1.523000000000000000e+03 2.310e+09 3375 
8.000000000000000000e+04 1.573000000000000000e+03 2.469e+09 3374 
9.000000000000000000e+04 1.673000000000000000e+03 2.806e+09 3373 
9.500000000000000000e+04 1.673000000000000000e+03 2.974e+09 3373 
1.000000000000000000e+05 1.773000000000000000e+03 3.143e+09 3372 
1.100000000000000000e+05 1.773000000000000000e+03 3.48e+09 3371 
1.300000000000000000e+05 1.773000000000000000e+03 4.154e+09 3369 
1.400000000000000000e+05 1.773000000000000000e+03 4.491e+09 3368 
1.410000000000000000e+05 1.723000000000000000e+03 4.492e+09 3368 
1.500000000000000000e+05 1.723000000000000000e+03 4.828e+09 3367 
1.600000000000000000e+05 1.723000000000000000e+03 5.165e+09 3366 
2.000000000000000000e+05 1.723000000000000000e+03 6.513e+09 3361 
2.100000000000000000e+05 1.723000000000000000e+03 6.850e+09 3360 
3.000000000000000000e+05 1.773000000000000000e+03 9.982e+09 3483 
4.100000000000000000e+05 1.803000000000000000e+03 1.3344e+10 3736 
5.000000000000000000e+05 1.903000000000000000e+03 1.6809e+10 3850 
5.500000000000000000e+05 1.973000000000000000e+03 1.8765e+10 3913 
6.600000000000000000e+05 2.273000000000000000e+03 2.3154e+10 3990 
